batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9, 
265,14:01:04,8.397,4.127,14.501,10.254,5.634, ,1.839,5.274,8.404,8.369
365,14:01:04,1.142,4.106,12.778, ,11.054,11.171,10.485,12.944,11.586,6.583
757,14:01:04,13.11,6.17,7.635,2.173,8.156,11.706,14.776,6.682,10.516,3.851
613,14:01:04,10.574,3.045,4.199,13.473,6.851,2.567,5.427, , ,12.066
265,14:01:04,7.827,14.634,1.913,6.224,6.846,14.837,10.574,12.263,7.362,9.731
337,14:01:04,11.634, ,7.457,7.606,13.104,2.037,2.243,4.244,11.415,3.119
 ,14:01:04,8.042,14.235,1.109,4.925, ,6.462,11.869,10.702,3.266, 
472,14:01:04,5.09,10.718,1.871,4.685,10.262,6.768,3.939,3.633,14.24,5.518
727,14:01:04,9.016,7.731,1.592,11.774,3.877,7.518,13.26,11.999,8.422,2.916
915,14:01:04,12.399,12.151,1.247,14.918,13.661,8.724,14.506, ,9.681,12.91
