batch_id,tiwestawp,reading1,reading2,reading3,reaving4,reading5,readiag6,rzading7,reading8,reading9,reading10
512,14:01:04,10.458,9.056,14.944,13.1,3.159,10.25,7.732,11.603,8.731,14.984
725,14:01:04,2.987,9.462,13.818,6.882,3.974,1.055,3.464,1.79,8.539,6.671
 ,14:01:04,3.879,11.404,11.214,14.24,12.506,2.125,6.432,14.219,9.302,9.634
132,14:01:04,8.037,7.765,12.876,12.19,14.374,7.743, ,11.823,3.343,4.61
433,14:01:04,8.093,1.401,10.72,10.547,13.004,3.739,3.245,13.349,10.944,13.829
299,14:01:04,4.196,2.936,4.931, ,3.415,6.126,6.934,9.805, ,10.436
236,14:01:04,1.762,5.498,3.662,8.102,1.364,1.436,1.373,13.839, ,5.021
314,14:01:04,7.103,10.609,11.374,12.823,11.375,1.294,13.98,6.453,2.621,7.685
972,14:01:04,9.702,1.104,3.407,2.445,10.891, ,3.37,1.836,2.741,3.988
4,14:01:04,11.908,11.909,3.472,5.934,12.199,4.868,5.165,11.757,2.988,7.504
