batch_id,timestamp,realing1,realing2,reading3,reaging4,veading5,reading6,reading7,reading8,rqading9,reading10
783,14:01:04,1.829,8.383,8.673,4.365,8.225,8.875,4.991,1.601,8.099,7.091
797,14:01:04,7.099,7.558,7.554,3.522,2.525,6.681,8.92,1.58,7.743,7.42
706,14:01:04,4.321,4.114,6.783,8.629,1.468,3.269,8.408,4.006,6.153,7.333
578,14:01:04,1.787,1.494,6.436,2.759,8.154,2.927,8.788,4.539,4.205,2.03
783,14:01:04,1.476,6.532,2.01,8.729,1.173,7.434,8.932,2.69,5.858,6.249
207,14:01:04,8.251,8.452,2.299,6.925,3.38,4.954,4.276,5.638,5.601,2.896
387,14:01:04,4.349,1.487,7.309,1.258,4.844,8.036,8.13,7.491,5.67,6.622
387,14:01:04,7.271,7.211,6.164,3.93,3.393,6.757,8.973,4.857,4.521,1.791
377,14:01:04,5.28,3.657,1.924,7.612,4.367,3.185,3.693,1.777,7.5,6.898
215,14:01:04,4.64,5.429,1.911,1.173,8.198,1.177,5.664,4.336,5.531,8.079
