batch_id,timestzmp,reading1,realing2,reading3,reading4,readong5,reading6,reading7,reading8,rending9,readieg10
24,14:01:04,2.65,4.02,5.989,4.439,8.017,4.484,5.94,6.167,6.529,4.877
196,14:01:04,1.487,8.985,1.137,8.804,6.293,6.424,1.635,8.776,5.771,6.029
108,14:01:04,2.131,7.199,6.426,3.183,2.098,8.171,4.334,6.673,2.296,2.236
70,14:01:04,6.543,8.672,5.027,5.035,2.662, ,1.845,8.812,8.443,5.454
828,14:01:04,8.737,1.583,6.584,8.746,1.082,8.424,7.072,3.466,6.728,8.419
201,14:01:04, ,5.691,1.11,3.423,1.139,6.674,6.314,4.382,7.055,1.964
340,14:01:04,3.933,4.699,8.334,2.359,2.226,7.583,5.059,8.393,5.557,7.608
544,14:01:04, ,1.339,5.367,7.804, ,8.232,2.943,4.824, ,4.387
894,14:01:04,8.19,2.252,8.369,6.904,1.665,7.192,6.177,6.913,2.591,4.855
130,14:01:04,1.039,2.487,1.035,5.019,8.729,3.851,1.049,6.36,2.96,1.17
