batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6, ,reading8,reading9,reading10
727,14:01:04,6.16,6.065,2.225,8.122,5.194,1.903,4.721,2.896,8.13,7.494
74,14:01:04,3.558,5.946,2.859,2.378, ,3.643,6.428,2.64,6.741,8.705
256,14:01:04,2.558,6.716,8.381,5.074,8.362,3.949,3.135,1.881,3.33,8.451
597,14:01:04,6.726,4.963,2.075,6.821,2.926,2.265,8.439,2.438,6.069,1.534
727,14:01:04,6.475,2.463,3.554,3.015,7.074, ,8.917, ,8.121, 
840,14:01:04,2.72,5.779,7.717, ,6.98,8.931,4.836,2.91,4.986,8.271
622,14:01:04,3.321,4.609,2.57,8.201,8.944, ,1.006,7.267,3.443,3.841
622,14:01:04,8.128,4.644,3.067,6.727,6.163,2.401,4.99, ,2.359,2.935
618,14:01:04,2.153,3.426,8.194,8.695,3.15,7.844,8.159,7.673,7.832,8.947
756,14:01:04,8.732,2.094,2.935,1.029,8.488,1.935,4.195,3.337,6.65,1.14
