batch_id,timestamp,reading1,reading2,reading3,reading4,readin,5,reading6,reading7,reading8,reading9,reading10
52,,14:01:04,5.168,3.623,5.572,3.619,7.949,1.164,6.498,1.073,2.96,7.241
266,14:01:04,6.857,8.121,5.802,8.518,5.446,2.249,5.901,4.207,5.651,4.018
636,14:01:04,7.412,6.034,5.034,3.715,3.992,4.203,3.946,6.883,3.771,2.298
521,14:01:04,5.174,5.073,8.891,4.245,4.723,8.926,4.162,6.037,,.738,4.902
667,14:01:04,6.856,1.5,4,3.14,7.135,1.457,3.236,8.631,8.753,5.159,6.801
988,14:01:04,8.793,8.173,6.216,1.407,8.848,8.304,6.0,4.,31,8.734,4.266
394,14:01:04,4.945,8.443,6.048,8.122,3.553,8.514,6.311,8.7,8,2.073,6.96
78,14:01:04,5.239,2.67,,.397,8.8,1.741,6.497,8.098,5.153,4.9,1.259
969,14:01:04,3.493,8.342,7.601,4.451,3.921,6.911,1.942,1.701,6.588,7.285
138,14:01:04,5.65,8.014,2.7,1.32,7.195,8.709,1.371,6.494,7.204,3.706
