batch_id, ,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
778,14:01:04, ,7.989, ,3.688,4.362,1.582,4.922,2.202,2.644,1.465
227,14:01:04,6.61,2.931,6.635,3.668,5.786,1.523,6.448,2.362,8.12,4.282
370,14:01:04,7.589,8.867,1.512,2.414,1.71,7.161,5.265,5.302,3.95,4.837
343,14:01:04,7.77,1.259,3.025,1.138,8.468,1.812,1.056,4.483,5.337,3.602
404,14:01:04,6.538,4.97,7.479, ,4.988,3.21,2.181,1.773,1.715,7.133
85,14:01:04,8.066,1.312,6.525,1.378,7.109,5.803,8.05,2.125,4.671,5.303
676,14:01:04,2.554,1.785,1.847,1.937,4.017,2.004,5.176,5.284,5.462,1.733
423,14:01:04,5.181,8.227,8.236,7.77,1.458,1.162,8.855,4.65,8.507,4.086
938,14:01:04,8.702,2.524,7.384,2.545,8.332,3.85,7.521,7.068,1.332, 
451,14:01:04,2.77,1.458,3.556,8.218,7.517,6.325,1.248,8.432,6.294,4.806
