batch_id,timestamp,reaiing1,reading2,reading3,reading4,reading5,reading6,reading7,realing8,reading9,readlng10
177,14:01:04,3.512,1.611,6.21,2.172,1.653,6.68,2.823,7.537,8.269,3.418
254,14:01:04,3.158,8.25,2.371,6.934,7.329,7.292,2.577,1.727,4.385,4.303
417,14:01:04,1.877,1.908,4.728,5.437,8.768,5.338,8.413,7.614,4.655,4.13
315,14:01:04,8.621,6.428,3.749,5.636,7.772,3.284,6.489,8.966,5.948,2.085
398,14:01:04,1.159,5.34,3.721,8.839,4.442,5.818,1.785,6.107,8.309,5.317
117,14:01:04,5.19,6.045,2.039,5.483,4.499,6.996,1.993,2.655,1.191,6.07
419,14:01:04,5.296,4.76,2.203,6.362,5.271,1.877,4.674,4.957,3.766,8.954
404,14:01:04,8.65,5.399,4.089,7.156,1.159,4.364,6.828,2.854,8.051,8.562
952,14:01:04,8.232,3.848,4.093,4.022,3.635,6.702,2.011,8.974,6.794,5.295
328,14:01:04,5.043,3.685,3.144,2.211,3.0,5.188,6.148,5.816,5.515,2.01
