batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
494,14:01:04,5.004,8.852,5.204,7.964,8.539,4.371,6.259,6.702,5.299,8.016
683,14:01:04,3.895,8.437,5.325,4.474,6.128,7.709,7.365,2.01,8.559,6.781
542,14:01:04,6.361,3.544,3.339,2.647,5.092,1.126,2.833,4.507,8.043,7.897
437,14:01:04,5.271,3.116,6.125,7.15,4.585,8.397,5.14,3.349,1.215,3.211
975,14:01:04,2.783,3.196,6.714,6.806,2.44,8.03,8.424,5.061,6.461,4.454
683,14:01:04,3.943,4.129,4.786,6.726,4.441,5.019,2.632,5.625,8.362,5.049
437,14:01:04,1.385,5.475,3.906,6.619,7.188,5.53,6.625,1.675,7.277,7.227
975,14:01:04,5.836,1.028,6.809,7.964,5.187,1.399,4.944,2.29,3.863,3.166
437,14:01:04,5.537,5.466,3.211,8.476,5.425,3.527,6.618,4.19,1.249,2.641
815,14:01:04,4.063,8.127,6.184,1.014,5.823,7.895,7.046,3.875,6.052,1.578
