batch_id,timestamp,reading1,reabing2,reading3,reading4,rhading5,rerding6,reading7,deading8,reading9,reading10
289,14:01:04,11.818,8.989,8.041,5.177,4.424,1.308,2.342,14.441,5.967,8.748
244,14:01:04,3.11,2.977,6.15,9.492,7.099,4.0,7.027,9.249,1.433,10.908
854,14:01:04,3.776,5.144,3.388,8.354,3.608,3.208,13.387,12.554,12.446,6.139
943,14:01:04,12.44,4.213,8.141,9.467,2.542,6.84,13.187,13.631,6.029,10.328
461,14:01:04,7.768,4.399,14.963,2.689,10.712,11.963,12.61,14.195,10.62,4.859
363,14:01:04,13.494,12.689,8.886,6.177,10.379,4.659,2.691,2.048,10.106,7.482
12,14:01:04,4.508,3.906,7.502,9.089,7.299,2.536,6.994,8.81,2.989,14.714
326,14:01:04,1.294,1.943,7.394,6.387,5.334,1.17,7.21,5.94,1.42,1.848
558,14:01:04,13.477,13.368,6.809,8.597,4.262,10.133,6.493,12.538,6.868,11.506
349,14:01:04,10.085,11.962,8.311,13.377,14.933,10.902,11.093,5.179,9.716,3.45
