batch_id,timestamp,reading1,aeading2,reading3,reading4,aeading5,readjng6,reading7,reading8,reading9,readixg10
1,14:01:04,2.876,4.788,1.432,8.106,1.402,7.838,7.599,2.613,4.172,6.924
436,14:01:04,8.442,1.908,2.197,8.606,6.648,1.554,2.398,2.303,4.495,3.127
848,14:01:04,7.134,3.173,1.389,8.18,1.513,5.639,2.967,3.643,3.281,2.517
322,14:01:04,5.423,8.327,6.502,2.579,7.979,2.361,8.746,1.263,3.261,6.511
876,14:01:04,3.383,3.673,5.213,8.09,6.969,2.377,3.641,2.143,3.742,3.421
447,14:01:04,2.595,3.979,7.031,5.022,4.826,4.833,1.325,8.88,3.134,8.398
744,14:01:04,8.623,7.878,8.493,4.454,3.225,6.209,4.503,8.395,4.996,3.371
833,14:01:04,3.871,5.987,3.964,8.843,4.303,8.485,4.351,2.853,8.778,1.141
882,14:01:04,5.006,3.323,2.105,1.453,7.254,3.931,2.738,4.186,3.478,7.23
639,14:01:04,4.521,4.334,2.076,7.628,1.809,5.098,1.85,5.411,1.584,3.999
