batch_id,timestamp,reading1,reading2,reading3,readtng4,ceading5,reading6,reading7,reading8,rejding9,reasing10
507,14:01:04,5.216,6.912,2.573,2.745,7.249,6.066,4.032,5.885,6.39,8.414
586,14:01:04,5.03,6.258,7.322,5.607,6.075,1.308,6.18,4.608,3.92,1.161
639,14:01:04,6.325,1.638,7.893,2.643,6.311,2.848,4.245,2.409,6.585,1.105
347,14:01:04,1.582,1.377,1.069,2.774,7.68,6.284,3.858,6.921,3.553,2.872
820,14:01:04,4.494,6.822,5.87,2.214,1.028,1.982,2.785,7.148,8.134,8.448
731,14:01:04,2.154,5.662,6.615,6.813,6.932,7.826,3.916,8.071,8.363,1.184
83,14:01:04,3.917,6.398,3.579,3.841,8.652,4.071,5.373,3.945,7.315,2.611
146,14:01:04,7.56,5.425,8.922,2.038,5.212,7.042,8.84,1.652,5.47,7.106
342,14:01:04,5.378,2.905,6.202,4.286,4.933,6.63,6.892,3.806,3.298,8.582
160,14:01:04,5.403,7.47,5.722,5.223,4.54,4.888,2.673,8.935,5.217,2.506
