batch_id,timestamp,reading1,reading2, ,reading4,reading5,reading6, ,reading8,reading9,reading10
517,14:01:04,3.955,4.138,9.818,12.648,1.44,6.102,5.104,12.971,8.204,13.004
161,14:01:04,1.739,8.213,12.062,5.685,13.59,5.309,1.1,7.432,7.855, 
570,14:01:04,1.236,3.781,1.977,8.803,2.669,12.576,10.667,10.915,8.251,2.092
538,14:01:04,9.688,14.07,8.261,8.324,10.369,5.645,2.796,8.913,11.543,5.101
131,14:01:04,8.124,4.601,13.864,14.292,4.096,13.453,9.63,6.081,7.572,14.71
570,14:01:04,9.406,7.035,7.51,6.459,12.418,7.632,11.864,14.739,1.424,2.262
161,14:01:04,4.478,12.125,5.751,7.859,3.126,12.589,10.447,13.799,10.484,3.263
570,14:01:04,14.15,12.858,14.044, , ,8.638,10.719,8.628,10.329,14.969
517,14:01:04,7.53,1.868,3.828,12.277,1.149, ,11.594,14.629,6.951,11.021
161,14:01:04,3.769,4.957,13.399,3.106,10.951,11.535,9.167,13.285,12.912,6.147
