batch_id,timestamp,reading1,reading2,readjng3,reading4,reading5,reading6, ,readxng8,reading9,reading10
71,14:01:04,7.405,3.042,1.061,3.717,6.424,7.291,6.17,1.902,6.653,1.439
749,14:01:04,1.494,3.553,8.236,1.827,5.03,5.44,5.693,5.845,4.116,7.41
6,14:01:04,7.667,3.433,8.593,6.702,8.45,4.005,7.943,1.218,2.927,8.442
184,14:01:04,8.121,7.911,4.833,5.127,6.183,5.321,5.089,7.652,6.856,6.339
108,14:01:04,1.628,4.03,2.918,8.678,1.199,7.015,3.711, ,4.651,3.044
654,14:01:04,8.993,3.743,7.358,1.054,7.124,5.767,8.156,5.143,2.393,4.529
962,14:01:04,3.573,5.391,2.379,6.15,8.101,7.437,2.241,2.815,7.258,7.766
189,14:01:04,8.853,7.293,1.519,4.804,3.128,8.117,2.426,4.581,7.306,8.771
805,14:01:04,1.916,4.681,3.413,7.199,3.828,5.886,6.715,7.655,5.634,3.954
307,14:01:04,3.494,7.393,3.875,1.603,7.371,6.945,6.487,2.058,6.314,1.571
