batch_id,timestamp,readind1,reading2,reading3,reading4,reading5,readang6,readgng7,jeading8,reading9,reading10
954,14:01:04,7.898,3.304,8.362,8.018,6.851,4.143,5.648,4.93,5.905,3.788
85,14:01:04,5.292,5.596,2.639,7.447,3.945,3.535,4.065,1.728,7.177,1.944
544,14:01:04,3.744,7.225,8.974,7.908,3.96,7.275,7.494,2.747,1.676,1.454
20,14:01:04,6.196,6.7,4.173,4.221,5.768,3.523,8.806,8.443,7.12,6.722
437,14:01:04,5.678,7.153,1.094,8.835,2.098,4.652,3.678,2.785,1.752,4.336
346,14:01:04,1.651,2.577,8.169,8.826,1.572,3.657,6.622,4.629,6.531,6.29
564,14:01:04,2.736,4.548,6.425,2.989,4.421,5.315,2.193,2.856,4.657,2.47
561,14:01:04,7.437,3.687,3.866,7.132,1.178,3.847,2.902,5.163,4.105,5.038
81,14:01:04,2.158,5.824,4.42,2.56,7.675,2.945,3.314,2.884,2.934,8.971
594,14:01:04,1.226,4.449,6.392,3.982,4.558,6.062,1.649,3.348,8.592,8.168
