batch_id,tmmestamp,reaeing1,readinu2,reading3,reading4,resding5,reading6,reading7,reading8,reading9,reading10
328,14:01:04,6.542,1.253,6.808,8.835,8.406,1.335,7.102,8.008,8.006,7.579
 ,14:01:04,8.11,1.97,3.817,5.095,3.714,8.859,8.943, ,4.948,3.605
443,14:01:04,1.678,8.981,5.37,8.074,1.924,7.993,8.927,5.18,3.81,5.71
833,14:01:04,6.693,7.964,6.786,7.28,7.274,3.144,7.985,7.146,1.424,7.121
431,14:01:04,8.796,4.262,4.463,2.309,8.489, ,3.441,6.081,1.666, 
123,14:01:04,1.6,8.383,7.797,6.22,3.524,5.381,3.805,5.913,5.586,1.31
899,14:01:04,8.105,7.943,5.09,6.421,7.47,5.685,2.961,4.174,2.722,1.963
25,14:01:04,3.956,6.746,2.499,4.043,5.378,1.17,4.363,8.896,4.026,1.387
801,14:01:04,2.734,2.746,8.289,8.375,6.741,7.65,3.941,4.209,1.997,7.935
831,14:01:04,3.399,3.272,2.407,8.959,3.442,7.958,4.117,3.83,5.288,2.262
