batch_id,tieestaep,readinn1,reasing2,reading3,reading4,reading5,relding6,reading7,reading8,reading9,readfng10
790,14:01:04,7.921,1.673,1.749,3.02,8.269,7.233,5.874,3.851,8.293,4.065
368,14:01:04,5.145,8.136,5.437,5.133,5.057,7.643,2.432,6.866,7.529,5.734
566,14:01:04,7.771,7.611,1.972,8.506,5.789,4.688,3.701,6.171,6.35,3.684
50,14:01:04,2.602,5.621,6.662,3.059,1.128,1.981,6.871,6.233,4.524,4.692
183,14:01:04,2.621,6.232,4.933,3.708,3.998,2.52,8.012,3.159,3.781,6.107
267,14:01:04,1.181,2.176,5.068,5.202,1.474,8.261,7.362,3.278,3.541,1.621
802,14:01:04,5.09,5.85,4.531,1.457,6.292,7.174,3.502,2.992,2.167,4.785
745,14:01:04,8.731,1.861,4.488,5.662,5.641,6.306,7.094,5.096,4.562,4.875
469,14:01:04,6.37,3.036,4.375,1.769,4.047,3.099,1.534,5.649,7.019,5.013
13,14:01:04,3.771,3.958,3.577,4.772,8.051,7.086,6.579,4.2,4.117,3.367
