batch_id,timestamp,reading1,raading2,rcading3,reading4,readinv5,readinj6,reading7,reading8,reading9,reading10
420,14:01:04,4.742,4.591,3.591,1.98,2.838,2.336,3.149,8.896,1.808,7.191
267,14:01:04,3.679,6.251,8.312,2.673,6.648,8.852,5.346,8.159,6.902,2.339
576,14:01:04,1.493,2.535,6.413,7.04,3.999,8.763,5.78,3.892,5.895,5.28
508,14:01:04,2.26,1.006,1.333,7.391,6.116,5.01,8.791,5.973,1.695,5.931
420,14:01:04,6.845,1.345,3.314,1.601,3.677,5.494,2.815,3.514,3.445,8.077
892,14:01:04,3.185,5.773,7.01,7.126,7.189,1.985,7.616,6.648,5.975,5.681
849,14:01:04,1.996,7.091,6.345,4.55,5.17,8.062,7.305,3.745,5.153,5.016
849,14:01:04,7.391,5.785,5.102,2.05,6.914,1.338,5.956,5.424,5.518,2.739
293,14:01:04,8.676,6.994,2.543,3.645,3.062,3.686,1.665,2.019,1.774,1.016
674,14:01:04,4.35,7.333,5.452,6.242,7.126,4.263,7.229,7.88,4.612,8.19
