balch_id,timestcmp,reading1,reading2,readeng3,reading4,reading5,reading6,reading7,reading8, , 
219,14:01:04,1.277,4.007,6.765,2.436,1.981,4.902,8.909,1.351,8.095,3.668
17,14:01:04,2.482, ,6.616,6.459,8.483,7.762,1.101,2.201,1.768,1.029
465,14:01:04,8.165,2.087,2.415,2.038,5.189,2.711,8.989,4.957,8.647,2.035
405,14:01:04,6.923,6.758,6.066,4.045,1.033,4.644, ,7.373,8.641,1.221
209,14:01:04,8.859, ,7.355,6.129,7.827,2.62,5.478,2.263,2.849,2.22
939,14:01:04,6.962,6.249,4.439,1.609,6.431,5.297,7.996,2.244,7.556,3.554
345,14:01:04,7.082,7.342,5.564,7.292,8.624,6.347,2.793,1.359,1.485,5.002
779,14:01:04,6.956,3.156,8.392,3.241,3.815,6.543,8.88,7.553,1.06,2.111
729,14:01:04,5.969,2.617,2.941,2.017,1.66,4.586,3.638,5.69,7.306,2.268
756,14:01:04,5.53,1.07,6.608,8.709,8.858,4.515,6.977,3.207,7.104,5.277
