bytch_id,timestamp,reaxing1,reading2,reading3,reading4,readung5,reading6,reading7,readipg8,reading9,readinp10
990,14:01:04,10.529,8.188,4.713,5.792,10.763,11.753,7.429,7.564,1.244,11.133
64,14:01:04,3.022,7.359,10.602,12.639,11.295,4.871,4.217,1.309,8.714,2.145
990,14:01:04,3.256,13.695,1.671,4.113,11.066,10.904,1.714,7.258,9.483,6.214
8,14:01:04,7.909,9.785,2.693,3.922,7.968,6.791,3.061,6.823,4.092,10.007
8,14:01:04,14.816,5.029,11.966,14.544,9.317,11.088,9.683,7.532,12.071,9.218
172,14:01:04,14.055,13.988,1.158,13.154,5.42,13.772,8.947,10.768,5.778,12.548
990,14:01:04,13.902,10.148,1.813,5.371,12.155,10.439,6.434,8.018,6.961,8.421
805,14:01:04,5.707,12.544,14.416,10.55,14.406,14.738,9.987,13.741,12.078,7.167
729,14:01:04,7.23,8.58,9.436,13.106,4.222,2.713,3.613,10.053,6.652,7.994
5,14:01:04,14.058,9.779,12.916,6.261,9.59,13.217,5.355,10.02,13.907,13.523
