baych_id,timestamp,reading1,readinf2,readiwg3,reading4,readyng5,reading6,beading7,readinx8,reading9,reajing10
760,14:01:04,1.644,7.107,2.863,1.975,11.976,11.339,8.533,8.433,3.512,12.65
867,14:01:04,9.009,11.131,1.033,1.614,1.526,13.188,4.688,2.431,14.257,10.369
692,14:01:04,4.249,12.894,1.312,14.485,8.703,9.142,9.682,12.108,12.922,7.623
685,14:01:04,2.938,13.053,14.714,3.67,12.097,9.868,8.619,4.915,7.37,2.508
390,14:01:04,7.493,8.441,13.539,14.953,11.631,7.659,9.54,10.135,4.613,5.108
732,14:01:04,6.493,5.679,2.638,10.244,9.423,13.262,1.908,6.53,9.03,8.218
44,14:01:04,14.953,11.683,10.683,13.116,14.127,11.166,7.281,14.892,14.258,8.153
860,14:01:04,4.45,14.737,13.519,13.602,11.793,12.476,11.049,9.762,5.805,12.738
189,14:01:04,6.272,4.939,11.882,13.909,1.304,8.53,3.412,2.6,5.389,6.562
862,14:01:04,7.156,14.976,12.539,13.605,12.527,5.191,7.065,6.85,10.488,3.135
