batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8, ,reading10
621,14:01:04,10.232,5.653,2.623,13.717,13.046,11.15,5.666,5.128,11.532,11.765
303,14:01:04,5.969,13.845,11.943,10.268,1.904,5.741,6.091,3.872,14.789,13.468
324,14:01:04,5.969, , ,2.047,7.032,5.813,11.64,12.314,14.518,6.48
472,14:01:04,5.589,12.788,11.645,9.371,5.622,8.716,6.523,8.38,13.405,7.823
280,14:01:04,1.022,7.493,3.177,11.065,4.13,4.357,5.969,6.87,4.173,2.053
744,14:01:04, ,13.871,3.436,13.911,13.41,8.113,1.15,14.989,14.283,13.684
844,14:01:04,9.335,2.063,7.178,4.778,11.683,5.662,10.746,12.577,6.252,6.735
666,14:01:04,11.358,3.37,9.181,7.784,5.884,6.249,5.543,3.184,8.243,14.071
836,14:01:04,4.391,3.07,4.916,13.045,2.084,7.63,9.473,1.003,5.739,13.857
247,14:01:04,2.966,7.585,8.311,6.646,8.296,12.478, ,5.037,14.434,2.942
