batch_id,timestamp,reading1,reading2, ,reading4,reading5,reading6,reading7,reading8,reading9,reading10
177,14:01:04,3.724,3.134,8.455,5.424,7.272,3.722,1.157,7.276,1.68,6.174
614,14:01:04,4.344,2.018,3.834,4.604,3.07,1.053,8.295,3.557,7.521,5.909
 ,14:01:04,3.271,1.145,7.661,6.294,4.547,5.856,4.303,7.697,4.092,7.215
440,14:01:04,2.772,8.268,8.667,6.3,4.979,6.611,4.006,4.512,1.796,4.499
387,14:01:04,7.405,5.369,3.203,1.362,6.84, ,4.122,8.685,1.572,1.287
440,14:01:04,7.706,6.239,3.597,5.648,4.013,4.794,5.876,6.737, ,2.436
323,14:01:04,1.944,3.215,5.489,3.013,4.834,8.559,3.128,8.617,6.137,5.533
614,14:01:04,5.545,4.412,7.071, ,8.999,3.195,1.325,2.999,4.594,1.354
323,14:01:04,8.839,2.086,6.201,3.81,6.536,3.075, ,3.161,8.415,6.081
155,14:01:04,3.037,4.597,8.185,8.188,1.149,4.958,3.796,1.499,5.971,5.24
