batch_id,timestamp,readung1,reading2,geading3,reading4,reading5,readung6,reading7,reading8,readung9,reading10
289,14:01:04,5.766,2.885,7.258,1.156,3.413,5.771,8.081,5.384,2.759,5.153
890,14:01:04,2.183,4.006,8.355,5.334,7.397,5.429,2.085,7.108,3.136,5.383
394,14:01:04,6.364,4.002,1.747,6.846,6.035,6.999,5.185,3.921,1.236,3.478
853,14:01:04,7.185,1.487,3.406,7.618,6.16,5.078,5.267,2.164,3.31,4.645
29,14:01:04,8.45,1.831,5.942,2.364,8.706,4.506,8.987,6.076,1.29,6.157
535,14:01:04,5.472,5.245,1.525,2.978,2.219,7.233,7.75,8.442,4.064,4.281
506,14:01:04,7.071,6.855,7.953,2.372,8.483,1.681,1.536,5.317,6.792,1.847
909,14:01:04,3.567,3.319,8.708,4.435,4.661,7.832,4.282,8.171,4.398,7.202
405,14:01:04,3.171,6.481,6.425,5.017,1.961,7.348,3.421,7.744,7.653,4.828
599,14:01:04,6.147,8.613,3.082,7.323,3.308,4.528,1.485,5.111,8.939,7.714
