batch_id,timestamp,reajing1,rpading2,reading3,reading4,reading5,reading6,reading7,reading8,readxng9,reading10
95,14:01:04,5.82,4.981,3.856,8.754,6.033,3.046,3.752,8.856,7.818,5.882
770,14:01:04,4.378,8.718,2.531,7.019,7.477,7.249,3.741,8.619,3.524,5.631
810,14:01:04,5.803,1.924,6.435,1.089,6.287,2.168,6.139,1.157,2.712,4.978
686,14:01:04,7.05,7.313,4.837,2.085,6.432,6.252,7.69,6.765,5.257,3.039
921,14:01:04,6.994,7.008,1.864,4.285,5.94,3.537,4.745,3.638,1.387,4.932
303,14:01:04,4.871,2.142,8.386,2.608,2.477,4.34,6.457,6.04,8.966,2.858
764,14:01:04,5.85,7.471,4.232,4.066,7.475,6.583,1.88,4.885,2.174,6.36
88,14:01:04,1.722,7.625,5.919,8.603,7.857,4.241,4.995,8.672,7.174,1.314
717,14:01:04,8.088,5.112,2.37,6.392,7.703,8.786,4.403,3.956,1.954,7.665
269,14:01:04,4.575,7.227,4.376,7.749,6.137,5.613,1.656,6.859,4.881,7.692
