batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
765,14:01:04,1.552,5.179,8.111,3.088,7.31, ,8.762,5.69,3.042,1.275
764,14:01:04,5.895,4.231,7.881,2.925,4.362,1.568,2.317,6.924,8.001,5.106
763,14:01:04,6.994,7.653,8.932,3.017,4.438,7.237,8.791,5.302,4.135,6.298
898,14:01:04,5.344,1.988,8.624,2.802,3.682,4.364,5.374,8.133,5.803,6.869
139,14:01:04,3.137,3.735,4.868, ,1.65,1.125,7.938,7.969,2.773,5.788
288,14:01:04,3.56,4.427,2.924,2.176,2.912,5.054,6.12,3.963,3.893,6.19
304,14:01:04,5.506,3.601,5.015,3.656,2.788,4.201,7.934,3.547,4.488,5.245
192,14:01:04,1.913,5.228,1.384,8.993,8.983,3.234,4.911,4.281,6.258,6.134
698,14:01:04,5.171,4.439,2.87,5.654,5.17,1.91,6.759,1.147,8.106,3.627
111,14:01:04,1.867,7.089,1.666,5.913,6.218,1.524,1.532,6.101,8.832,8.864
