zatch_id,timestamp,reading1,reading2,reading3,reading4,rlading5,reading6,reading7,reading8,reading9,readung10
595,14:01:04,7.355,5.572,5.685,1.037,5.993,2.809,4.545,8.292,5.876,1.019
725,14:01:04,4.86,6.819,2.686,6.649,8.46,2.578,4.123,1.919,6.935,2.473
246,14:01:04,6.907, ,6.11,8.023,3.221,3.167,1.618,3.096,7.899,7.129
561,14:01:04,7.945,4.811,5.192,8.916,5.94,4.124,7.592,2.789,8.341,2.847
101,14:01:04,2.973,4.671, ,8.828,2.146,8.913,6.101,7.232,7.702,5.663
834,14:01:04,2.992,6.98,7.728,4.845,6.825,1.741,4.245,2.889,5.975,4.456
978,14:01:04,3.396,4.297,8.889,1.961,8.355,1.882,3.496,8.452,8.364,8.527
282,14:01:04,6.983,1.796,2.324,5.054,7.141,6.56,8.727,8.6,8.15,8.922
240,14:01:04,5.576,5.671,8.107,5.684,1.747,5.563,7.388,6.022,4.08,5.06
379,14:01:04,7.295,3.698,2.909,8.364,7.14,1.885,7.998,2.772,2.458,1.349
