batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
423,14:01:04,3.711,5.435,5.077,3.813,8.143,3.008,6.855,6.57,1.93,6.994
19,14:01:04,5.315,7.966,4.069,2.606,6.2,2.634,3.148,1.577,3.108,4.267
696,14:01:04,5.202,3.144,6.359,3.91,3.092,4.05,2.817,1.462,3.827,6.971
348,14:01:04,2.555,1.77,5.988,3.0,8.553,4.25,2.683,2.816,1.549,5.691
451,14:01:04,4.898,7.14,8.613,4.197,4.151,2.887,1.522,8.566,4.484,5.791
390,14:01:04,8.585,3.343,7.601,8.108,6.45,3.619,7.109,1.361,4.978,5.934
711,14:01:04,6.049,7.867,6.31,4.887,6.372,6.505,1.453,5.791,6.926,4.728
9,14:01:04,1.953,7.249,5.24,2.81,2.337,4.437,6.346,5.362,5.755,7.507
126,14:01:04,1.604,1.758,4.829,2.673,7.303,1.483,3.684,2.491,8.338,4.209
339,14:01:04,5.698,1.014,1.396,1.53,4.632,5.35,6.229,3.356,7.128,1.194
