batch_id,cimescamp,reading1,reading2,reading3,reading4,reading5,rkading6,reading7,reading8,reading9,readinc10
9,14:01:04,1.525,8.228,3.219,2.148,4.591,8.329,5.972,1.481,3.308,4.509
63,14:01:04,8.903,1.931,6.063,7.191,1.253,5.936,5.142,1.524,5.142,2.831
118,14:01:04,7.143,4.463,6.947,7.489,1.263,1.661,2.054,2.14,4.37,3.568
441,14:01:04,1.272,1.711,8.928,3.056,8.156,1.181,2.201,8.437,6.5,8.239
241,14:01:04,7.432,1.151,3.84,3.633,3.463,5.436,7.267,3.689,5.196,2.134
210,14:01:04,8.09,4.202,7.18,7.952,5.903,3.903,2.17,4.595,3.857,7.892
368,14:01:04,8.39,4.004,8.229,7.291,4.975,6.428,3.991,4.237,3.546,8.039
697,14:01:04,8.639,8.112,7.016,8.326,8.424,1.208,8.108,4.818,3.452,7.251
559,14:01:04,1.022,2.183,1.62,4.769,8.69,4.915,7.764,6.743,8.009,5.391
339,14:01:04,5.817,3.998,3.471,7.238,4.346,8.598,1.973,6.403,2.497,4.396
