batch_id,timestamp,reading1,reading2,reading3,reading4, ,reading6,reading7,reading8,reading9,reading10
688,14:01:04,6.171,6.7,6.244,2.944,2.961,8.871,1.039,1.554,8.655,3.559
124,14:01:04,3.882,3.05,7.412,7.958,3.103,1.712,8.182,1.88,1.632,6.348
543,14:01:04,8.111,6.306, ,7.387,8.279,7.571,2.637,7.788,4.957,3.549
439,14:01:04,2.982,6.924,3.952,4.804,7.793,2.232,6.133, ,2.143,1.415
688,14:01:04,3.109,5.662,7.072,3.916, ,7.212,6.098,8.628,2.357,7.821
912,14:01:04,7.529,8.008,3.993,2.748,3.142,5.42,5.185,5.024,3.373,2.791
572,14:01:04,4.797,5.935,6.707,7.929,3.086,7.744, ,6.951,4.724,6.658
572,14:01:04,8.294,3.425,5.117,2.799,6.428,6.094,6.283,7.322,4.461,8.675
726,14:01:04,3.717,2.502,5.785,6.836,2.84,4.317,5.922,1.517,7.913,5.775
555,14:01:04,4.114,1.502,8.943,3.223,4.928,4.142,7.165,3.083,6.941,5.564
