batch_id,timestamp,reading1,reading2, ,reading4,reading5,reading6,reading7,reading8,reading9,reading10
358,14:01:04,5.486,2.817,8.692,1.775,6.743,5.456,5.026,3.049,5.599,3.203
399,14:01:04,2.758,5.772,2.851,5.779,1.407,6.238,2.77,5.161,8.566,1.076
317,14:01:04, ,8.722,6.479,4.534,1.386,5.758,8.186,6.169, ,7.796
623, ,7.703,7.615,3.063,6.584,2.155,4.187,7.136,2.75,2.087,3.33
759, ,3.438,2.151,4.193,7.622,1.577,7.67,2.199,6.856,8.414,5.891
347, ,1.323,7.846,1.743, ,2.055,6.828,4.35,8.71,8.305, 
680, , ,8.794,2.388,2.875,5.216,5.862,1.816,4.932,5.583,6.615
687,14:01:04,6.678,4.863,2.141,1.863,6.037,3.502,4.911,4.846,8.507,7.673
622,14:01:04,8.044,7.517,6.997,1.58,4.031,2.013,8.721,2.38,1.712,6.792
77,14:01:04,4.422,7.265,5.392,3.02,6.926,8.324,1.383,6.82,8.484,5.166
