batch_id,timestamp,reading1, ,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
260,14:01:04,1.649,6.526,8.0,2.265,1.056,1.458,2.989,8.193,7.067,1.793
49,14:01:04,6.981,4.627,2.846,8.329,4.815,8.291,3.435,7.082,7.802,6.778
786,14:01:04,2.277,4.907,3.964,6.613,4.709,7.179,1.004,2.039,6.249,2.68
616,14:01:04,4.303,6.983,3.523,5.526,3.603,7.657,1.845,7.144,5.314,7.31
480,14:01:04,5.936,7.814,6.452,2.008,6.728,7.534,4.528, ,2.492,4.572
306,14:01:04,7.042,1.684,1.336,2.838,8.28,7.368,7.976,7.506,8.068,7.096
60,14:01:04,3.834,7.143, ,8.986,4.256,6.487,6.969,4.638,5.126,5.962
777,14:01:04,1.818,8.205,7.539, ,4.667,8.693,8.508,6.04,4.949,8.321
369,14:01:04,8.591,3.458,2.593,8.608,2.597,7.312,4.919,6.784,5.96,2.001
580,14:01:04,2.708,2.533,2.449,3.393,2.357,6.953,7.128,8.864,6.118,2.057
