batch_id,tiaestaap,reading1, , ,reading4,reading5,xeading6,reading7,reading8,reading9,readdng10
474,14:01:04,9.901,8.268,12.834,4.683,6.094,5.926,5.265, ,9.481,10.078
218,14:01:04,3.022,1.647,14.412,6.471,5.021,14.145,4.448,7.6,5.405,10.403
430,14:01:04,11.135,2.2,13.396,8.523,10.869,10.834,9.886,12.052,7.114,12.61
111,14:01:04,6.195,1.935,7.923, ,5.618,9.333,6.019,10.139,11.353,1.018
853,14:01:04,8.15,10.592,2.116,3.759,12.479,13.487,13.507,8.477,7.875,12.161
113,14:01:04,14.934,4.248,10.461,8.919,11.344,1.158,7.643,1.621,14.04,1.956
212,14:01:04,14.88,13.116,1.801,3.531,10.06,13.778,6.659,4.708,11.614,14.849
30,14:01:04,8.548,3.512,2.566,8.442,13.847,5.307,3.248,9.447,7.259,7.886
252,14:01:04,1.683,1.719,10.408,2.767,13.871,1.961,3.798,4.719,10.586,11.317
147,14:01:04,13.526,6.299,10.052,2.995,10.491,7.324,7.813,5.355,12.863,7.981
