batch_id,timestamp, ,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9, 
320,14:01:04,1.279,11.753,10.82,4.55,3.712,13.933, ,8.251,3.486,13.29
770,14:01:04,7.67, ,3.882,14.726,1.674,7.356,4.478,10.422,7.794,14.056
969,14:01:04,10.67,6.752,1.111,9.445,5.764,14.424,8.395,6.323,10.198,13.793
612,14:01:04,9.864,5.967,10.697,7.812,1.474,11.613,10.657,2.705,9.223,6.309
320,14:01:04,8.675,7.34,8.88, ,3.63, ,13.624,2.893,1.894,13.485
402,14:01:04,3.41,1.421,4.485,7.673, ,5.526,1.277, ,8.545,2.252
211,14:01:04,12.681,1.554,8.928,6.586,2.436,4.119,6.191,10.737,7.396,10.778
211,14:01:04,13.301,1.396,12.872,6.245,4.194,12.604,2.955,5.493,13.785,7.302
634,14:01:04,10.763,10.279,2.152,14.265,11.009,9.226,2.881,4.949,11.354,12.788
370,14:01:04,8.765,5.217,4.255,13.323,1.608,3.165,13.544, ,9.211,1.475
