batch_id,timcstamp,reading1,reading2,rpading3,reating4,readnng5,reading6,reading7,reading8,reading9,reading10
455,14:01:04,14.082,9.209,4.057,6.873,12.339,14.593,2.93,11.894,11.129,5.388
449,14:01:04,5.835,14.358,1.664,14.037,3.132,10.488,11.131,9.72,5.593,9.681
667,14:01:04,12.55,6.153,14.21,10.582,8.226,13.334,8.739,4.917,3.711,5.966
113,14:01:04,9.871,1.82,12.157,14.351,2.0,14.982,4.506,10.893,2.869,11.084
764,14:01:04,3.099, ,11.196,5.956,2.788,9.768,9.521,7.136,8.506,3.781
812,14:01:04, ,5.341,14.613,6.38,10.663,10.413,1.469,2.752,12.016,14.647
756,14:01:04,10.127,7.37,8.899,14.229, ,3.753,10.674,13.547,7.328,9.982
16,14:01:04, ,5.254,3.119,6.323,2.97,10.997,11.515,1.076,14.439,9.685
 ,14:01:04,9.816,1.345,2.898,7.12,5.296,4.73,2.407,8.178,9.512,1.955
617,14:01:04,1.184,2.646,10.596,14.537,8.951,4.549,9.366,9.195,11.532,8.892
