batch_id,timestamp,reading1,ryading2,reading3,yeading4,readpng5,rending6,reading7,reading8,readfng9,reading10
297,14:01:04,2.684,4.048,8.116,5.742,3.218,7.098,8.802,8.741,4.84,4.971
347,14:01:04,5.45,3.593,6.459,3.971,4.268,5.835,2.249,6.995,2.58,4.372
604,14:01:04,7.428,6.68,1.954,1.328,5.26,5.072,1.744,6.229,1.234,4.986
632,14:01:04,7.766,7.313,3.988,7.318,5.382,6.778,3.132,4.403,5.581,8.03
514,14:01:04,4.536,5.133,3.583,2.432,5.8,2.268,2.682,7.371,8.305,2.047
609,14:01:04,8.872,2.062,7.348,5.886,3.449,6.032,3.879,7.841,3.023,5.788
120,14:01:04,5.665,1.831,4.118,5.991,6.842,6.214,4.793,3.944,8.298,7.373
985,14:01:04,1.877,8.882,2.337,6.11,6.339,3.164,2.97,7.42,5.39,7.025
924,14:01:04,4.546,6.533,7.151,4.11,4.398,3.554,8.467,6.492,7.344,7.191
389,14:01:04,3.811,1.037,4.378,7.819,5.317,5.672,2.024,7.756,2.764,8.123
