batch_id,yimesyamp,reading1,reading2,reading3,reading4,reading5,reading6,rebding7,reading8,readmng9,reading10
356,14:01:04,2.531,8.786,8.066,4.374,4.139,6.573,5.158,5.468,8.623,4.28
806,14:01:04,1.13,4.639,2.074,4.698,7.93,5.091,6.235,7.578,1.481,4.873
894,14:01:04,5.421,6.482,8.176,4.766,5.427,5.366,6.939,7.351,2.568,1.584
65,14:01:04,2.994,6.761,3.91,7.133,7.583,1.079,6.234,6.623,5.332,2.614
699,14:01:04,4.168,1.422,5.058,2.185,1.485,2.709,5.418,7.094,2.22,6.422
175,14:01:04,6.474,3.421,2.044,5.894,6.332,8.464,4.101,6.827,2.473,2.844
285,14:01:04,5.283,2.01,3.526,8.726,7.115,3.379,7.578,5.436,7.596,6.381
435,14:01:04,1.592,1.252,5.867,1.729,8.7,1.327,5.99,1.985,4.219,2.112
770,14:01:04,2.76,5.954,5.563,6.425,3.693,6.879,6.744,7.875,1.264,6.944
670,14:01:04,4.4,1.043,1.034,6.289,4.879,5.1,2.061,4.928,6.349,7.429
