natch_id,timestamo,reading1,reading2,reading3,reading4,reading5,reading6,reading7,readirg8,reading9,reading10
337,14:01:04,4.878,6.623,4.051,8.962,7.545,6.894,4.889,4.204,7.501,1.273
531,14:01:04,5.76,3.655,1.095,3.207,1.352,5.004,6.483,5.924,3.13,8.967
827,14:01:04,8.807,8.794,4.384,1.001,8.718,1.945,1.23,8.343,1.574,3.252
11,14:01:04,2.569,7.694,6.301,1.72,2.083,2.614,1.134,5.1,6.306,1.584
647,14:01:04,8.96,5.927,6.308,7.498,5.966,5.414,4.563,7.13,6.452,5.323
938,14:01:04,3.563,6.61,2.062,5.42,2.024,8.556,4.278,3.94,8.991,3.388
853,14:01:04,2.735,3.657,5.473,3.44,2.081,5.203,3.852,2.431,8.274,3.157
281,14:01:04,7.908,7.304,4.628,6.824,4.66,4.528,3.956,2.264,5.807,8.477
406,14:01:04,6.83,5.797,4.388,8.501,6.514,1.846,4.203,4.595,2.918,7.909
47,14:01:04,3.596,7.034,2.651,4.492,2.198,7.799,6.959,6.014,8.205,4.385
