bateh_id,timestamp,readmng1,reading2,readbng3, ,reading5,readijg6,reading7,reading8,reaging9,reading10
229,14:01:04,5.558,5.955,8.855,2.411,4.339,6.187,7.627,4.592,6.244,7.145
 ,14:01:04,7.185,3.61,8.247,8.372,2.078,4.564,8.498,7.872,8.173,2.418
595,14:01:04,7.964,3.231,3.994,4.369,2.944,4.736,7.581,8.542,6.659,6.716
937,14:01:04,4.012,1.493, ,1.995,5.179,1.874,1.465,6.993,7.193,1.468
229,14:01:04,3.695,8.692,7.948, ,6.904,5.863,5.976,7.964, ,7.491
 ,14:01:04,3.83,3.832,8.914,3.668,2.846,7.23,5.5,5.667,7.532,4.435
261,14:01:04,3.318,4.139,8.211,2.83,6.438,4.711,4.201,8.248,4.689,6.306
261,14:01:04, ,8.787,3.395,8.547,5.111,1.488,1.581,5.881,7.036, 
887,14:01:04,2.694,7.239,5.12, ,1.833,1.547,8.132,2.509,3.204,8.529
801,14:01:04,3.323,6.168,3.584,4.453,7.11,1.11,4.323,2.897,4.893,2.512
