batch_id,timestamm,reading1,reading2,reading3,reading4,reading5,reading6,reading7,readitg8,reading9,reauing10
495,14:01:04,2.591,2.552,6.248,5.187,2.414,5.978,7.21,7.682,7.355,2.489
865,14:01:04,5.129,1.139,5.149,7.258,1.223,8.711,1.448,8.048,6.821,5.577
179,14:01:04,5.645,1.316,1.307,8.137,1.599,3.49,2.134,6.149,4.701,5.845
187,14:01:04,4.595,1.676,1.518,1.928,5.673,1.488,2.088,1.49,4.628,2.947
495,14:01:04,5.208,1.263,1.181,5.372,3.883,6.754,4.706,3.176,2.847,2.318
989,14:01:04,5.181,8.576,6.598,8.023,6.985,6.334,6.772,4.112,4.223,1.745
972,14:01:04,6.674,6.195,2.518,4.055,6.663,8.313,1.372,1.195,2.423,5.105
972,14:01:04,7.978,7.018,2.941,4.027,1.64,1.957,2.436,6.022,2.331,8.031
379,14:01:04,6.037,1.758,5.93,4.305,2.395,3.432,4.503,1.809,4.331,3.677
564,14:01:04,8.662,8.967,4.855,6.194,1.79,3.605,3.583,8.169,3.229,1.135
