batch_id, ,reading1,reading2,reading3,reading4,reading5, ,reading7,reading8,reading9,reading10
706,14:01:04,6.155,4.846,11.716,5.407, ,13.089,6.477,13.907,13.678,3.949
410,14:01:04,7.021,4.487,3.85,7.38,3.246,5.338,12.359,12.066,4.912, 
805, ,4.756,4.253,5.299,7.391,11.252,6.795,11.772,1.393,9.636,14.545
505,14:01:04,12.105, ,12.203,10.914,6.71,6.745,1.626,4.234,14.409,6.223
114,14:01:04, ,8.936,13.826,2.33,10.728,5.399,3.385,2.351,5.765,3.001
377,14:01:04,12.281,14.822,13.789,12.957,9.907,13.895,12.022,10.373,2.833,14.761
834,14:01:04,14.048,11.847, ,3.287,1.206,11.722,5.194,11.969,9.87,14.733
794,14:01:04,13.03,11.554,6.089,7.394,5.743,8.194,5.728,1.817,8.614,1.739
473,14:01:04,4.802,1.38,2.755,13.737,7.53,14.638,13.424,11.885,2.594,13.876
520,14:01:04,13.246, ,3.52,1.425,2.663,9.36,8.803,1.022,3.091,12.486
