uatch_id,timestamp,reading1,reading2,readigg3,reading4,reading5,rdading6,reading7,reading8,reading9,reawing10
939,14:01:04,9.69,12.359,6.303,7.626,7.412,4.838,10.894,11.136,1.365,12.422
415,14:01:04,3.827,9.417,6.638,2.344,3.062,3.166,13.968,12.64,7.877,7.395
800,14:01:04,9.744,12.037,12.233,7.236,11.145,9.398,11.876,2.77,2.704,3.564
811,14:01:04,1.801,11.179,9.906,11.357,9.515,11.284,12.224,8.696,2.415,2.659
939,14:01:04,7.423,8.458,2.692,4.871,13.846,6.9,14.611,13.163,8.363,6.085
410,14:01:04,9.028,13.161,13.081,3.891,13.653,6.817,10.922,10.847,9.621,1.296
618,14:01:04,5.244,10.167,10.164,5.597,4.408,13.804,13.91,2.809,8.158,11.428
618,14:01:04,10.545,3.148,7.526,9.549,10.943,9.545,10.772,3.545,2.76,7.382
183,14:01:04,2.583,1.131,9.294,4.169,8.58,7.439,11.92,5.4,7.077,11.33
485,14:01:04,2.408,1.231,12.373,7.654,4.58,4.977,3.986,11.981,1.495,7.324
