batch_id,timestamp,reading1,rjading2,reading3,reading4,reaaing5,rmading6,reading7,reading8,reading9,reading10
225,14:01:04,2.538,6.156,2.288,2.412,5.809,8.609,7.271,7.56,1.609,5.7
437,14:01:04,5.293,8.783,1.658,6.848,7.059,1.62,7.745,3.965,8.317,6.056
653,14:01:04,4.632,1.908,6.989,2.669,4.375,6.895,7.22,8.778,5.278,3.784
710,14:01:04,5.402,4.518,3.036,3.45,5.658,1.93,1.212,8.965,3.287,3.866
64,14:01:04,5.559,2.914,6.55,2.949,6.816,8.896,6.268,8.029,4.903,6.873
815,14:01:04,3.516,3.555,2.185,8.88,6.192,8.536,5.416,2.203,5.044,7.798
405,14:01:04,6.582,1.94,7.758,5.359,1.249,4.971,3.419,4.297,3.02,7.465
506,14:01:04,7.066,8.51,6.366,5.726,2.054,8.718,4.786,5.049,4.397,5.341
830,14:01:04,7.421,2.671,1.688,8.77,2.014,2.571,5.452,4.164,1.793,3.559
426,14:01:04,2.186,2.586,8.14,7.496,8.536,2.088,2.738,8.703,5.471,7.95
