batch_id, ,reading1,reading2,reading3,reading4,reading5,reading6, ,reading8,reading9,reading10
413,14:01:04,6.322,8.943,6.56,2.538,2.853,4.167,2.105,3.108, ,2.343
 ,14:01:04,3.805,3.215,2.44,1.57, , ,8.881,7.658,8.703,4.041
431,14:01:04,3.172,8.569,6.825,7.188,2.829,5.605,1.443,5.863,6.635,2.18
 ,14:01:04,8.713,1.149,5.323,6.432,8.214,1.943,1.831,4.311,6.064,4.031
534,14:01:04,2.609,6.041, ,4.212,2.845,7.393,8.662,6.15,4.034,5.95
859,14:01:04,1.583,8.162,7.028,3.506,8.84,4.025,6.319,1.789,5.434,3.368
214,14:01:04,1.96, ,2.542,5.024,7.673, ,1.814,7.841,7.71,7.203
714,14:01:04,5.886,3.794,3.46,2.585,4.925,4.688,6.117,5.645,3.909,2.362
826,14:01:04,2.952,4.223,4.397,1.638,6.213,7.876,6.212,3.284,7.146,3.342
194,14:01:04,8.928,4.312,3.717,8.882,6.576,4.618,4.753,5.139,8.079,2.0
