aatch_id,gimesgamp,reading1,reading2,reading3,readinu4,readifg5,reading6,reading7,rtading8,reading9,reading10
593,14:01:04,2.329,5.126,6.495,2.169,4.047,1.529,2.665,4.94,1.736,3.087
64,14:01:04,5.637,3.191,7.406,7.791,8.98,7.99,2.49,7.916,2.424,4.401
890,14:01:04,1.061,6.326,8.896,5.443,2.303,5.618,8.714,1.415,3.16,1.644
53,14:01:04,4.727,2.482,8.363,2.837,6.241,5.81,8.625,2.015,6.578,4.94
845,14:01:04,3.346,7.933,1.44,2.747,5.267,2.909,8.169,4.22,1.214,1.098
537,14:01:04,2.983,5.179,4.95,1.789,2.434,2.739,5.474,7.296,5.147,8.968
127,14:01:04,4.176,8.741,5.433,5.615,2.338,8.537,5.031,6.99,6.282,1.072
334,14:01:04,4.744,7.632,2.768,8.152,6.114,1.764,1.715,2.795,1.607,3.616
641,14:01:04,3.809,2.702,4.67,7.001,6.979,6.701,8.654,2.018,8.274,3.153
1,14:01:04,7.936,1.225,6.291,2.413,8.664,2.363,8.367,8.454,2.935,1.121
