batch_id,timestamp,reawing1,reading2,readyng3,reading4,reading5,ueading6,reading7,reading8,readcng9,readifg10
995,14:01:04,2.103,3.823,5.463,1.259,4.059,5.042,3.466,6.528,6.272,6.437
937,14:01:04,1.815,1.967,6.195,1.022,1.525,3.528,8.428,2.881,1.073,7.191
799,14:01:04,7.252,3.03,2.762,6.402,8.73,3.099,7.385,6.539,2.259,1.224
735,14:01:04,5.966,8.707,6.452,7.991,7.666,6.678,5.797,7.885,5.733,8.566
573,14:01:04,4.364,7.944,5.314,7.285,5.209,1.525,8.428,4.444,6.061,2.093
196,14:01:04,8.009,6.687,6.804,4.011,3.999,1.568,8.098,4.314,5.298,1.103
470,14:01:04,8.058,8.008,2.528,4.342,5.384,3.061,3.477,8.015,7.243,2.73
350,14:01:04,4.881,5.528,3.07,3.391,4.564,2.677,2.011,2.06,6.898,3.657
642,14:01:04,1.841,8.31,3.917,7.866,6.131,2.174,3.923,7.261,4.735,7.437
586,14:01:04,8.353,8.899,2.23,5.241,3.87,3.576,4.919,2.992,3.482,8.159
