batch_id,timestamp,reading1,reading2,readvng3,reading4,reading5,reauing6,reading7,reading8,reading9,reating10
795,14:01:04,6.475,6.073,7.343,5.621,6.662,1.584,7.603,1.298,1.819,3.278
99,14:01:04,4.216,1.629,7.512,5.045,6.16,3.705,2.045,1.953,6.281,7.429
380,14:01:04,4.031,1.997,5.75,2.102,6.429,8.224,5.701,3.236,7.71,7.655
88,14:01:04,6.775,4.725,2.261,3.822,6.42,7.349,7.258,1.177,3.878,8.591
842,14:01:04,3.825,6.99,8.967,6.928,4.701,3.155,2.143,6.459,5.106,8.788
46,14:01:04,4.044,5.202,2.864,3.371,7.508,8.606,6.106,7.13,1.993,3.514
169,14:01:04,8.733,4.706,1.522,6.193,7.994,8.605,8.917,1.457,3.88,5.493
927,14:01:04,7.377,1.618,7.057,6.275,3.355,8.963,8.498,7.179,4.487,1.753
996,14:01:04,4.666,6.716,6.857,8.258,3.846,5.862,7.025,6.929,6.395,6.954
927,14:01:04,2.702,1.502,4.554,3.584,5.739,8.471,6.681,5.431,5.495,3.111
