batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
377,14:01:04,4.561,2.229,6.858,2.925,4.786,8.443,3.855,8.007,5.704,2.635
594,14:01:04,7.346,2.368,2.269,5.743,7.979,1.739,3.609,5.001,7.302,1.206
368,14:01:04,1.563,7.276,8.015,2.967,2.623,6.619,8.096,7.852,3.127,3.446
456,14:01:04,2.848,7.125,6.604,8.931,1.105,7.35,4.138,7.804,3.906,7.524
174,14:01:04,7.432,3.858,4.361,5.77,7.745,5.153,1.042,6.411,2.509,5.872
903,14:01:04,3.447,7.612,4.889,5.237,8.16,5.914,4.779,6.227,2.587,7.607
710,14:01:04,7.057,2.139,5.971,3.555,6.073,5.953,2.366,2.575,4.576,6.096
684,14:01:04,5.776,5.54,4.5,2.465,1.637,6.826,6.571,7.829,1.245,5.086
351,14:01:04,6.817,5.705,4.138,5.822,6.29,2.083,7.233,7.035,2.548,4.575
529,14:01:04,1.443,5.48,8.855,5.816,2.99,5.276,6.864,1.542,3.995,1.513
