batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
206,14:01:04,7.522,7.997,6.519,4.668,4.543,1.647,6.527,5.199,3.175,6.465
672,14:01:04,4.006,8.655,5.713,8.486,4.738,5.073,2.885,7.252,3.727,8.605
670,14:01:04,7.557,7.514,5.11,5.866,6.81,5.486,2.26,2.142,8.246,1.701
840,14:01:04,5.79,7.997,7.736,2.25,7.641,1.004,7.761,7.081,6.725,6.082
371,14:01:04,5.918,3.824,8.447,6.363,4.642,1.3,7.753,2.364,2.3,4.777
973,14:01:04,4.442,8.452,5.232,6.751,7.476,6.812,4.53,4.996,1.946,1.838
36,14:01:04,3.552,5.292,3.282,6.213,7.761,2.886,4.693,1.904,3.757,3.758
948,14:01:04,1.865,4.745,3.947,1.975,7.065,5.458,8.806,5.054,1.515,1.741
812,14:01:04,1.775,5.788,8.661,3.209,6.631,6.624,4.351,5.57,4.914,8.731
833,14:01:04,8.792,6.223,7.626,4.525,6.568,1.91,7.882,3.975,6.01,8.162
